Count of Acquisition Date,Column Labels,,,,
Row Labels,Female,Male,Not Defined,(blank),Grand Total
Acquired from the Artist. Preserved with funding from The Lillian Gish Trust for Film Preservation,,1,,,1
Acquired from the Artist. Restored with funding from The Lillian Gish Trust for Film Preservation,,1,,,1
Acquired from the National Film Library of the British Film Institute,,1,,,1
"Acquired from the Reichsfilmarchiv, Germany",,1,,,1
Anonymous Fund,,23,,,23
Gift of A. Conger Goodyear,,1,,,1
Gift of Abby Aldrich Rockefeller,1,,,,1
Gift of Douglas Fairbanks,,1,,,1
Gift of Douglas Fairbanks. Restored with funding from The Film Foundation and the Celeste Bartos Film Preservation Fund,,1,,,1
Gift of Douglas Fairbanks. Restored with funding from the National Film Preservation Foundation and The Film Foundation,,1,,,1
Gift of Fred Leighton,,,1,,1
Gift of John McAndrew,4,2,1,,7
"Gift of Lenart Import, Ltd.",,4,,,4
Gift of Lincoln Kirstein,,1,,,1
Gift of Marshall Field (by exchange),,1,,,1
Gift of Miss Caresse Crosby,,7,,,7
Gift of Miss M. T. Talbot,,1,,,1
Gift of Mrs. Bella C. Landauer,,1,6,,7
Gift of R.H. Macy & Co.,,,2,,2
Gift of Sam A. Lewisohn,,2,,,2
Gift of the artist,,1,,,1
Gift of the designer,,1,,,1
Gift of the Estate of George Gershwin,,1,,,1
Gift of the Farm Security Administration,2,13,,,15
Gift of the German Embassy,1,,,,1
Gift of The New York World Telegram,,1,,,1
Gift of the photographer,,19,,,19
Gift of Union Pacific Railroad Company,,15,,,15
Given anonymously,,1,,,1
Given anonymously in memory of the artist,,1,,,1
Purchase,,6,,,6
1939,5,403,10,,418
Abby Aldrich Rockefeller Fund,1,19,,,20
"Abby Aldrich Rockefeller Fund, purchased in memory of Mrs. Cornelius J. Sullivan",,1,,,1
"Acquired from N.I.S., Soyuzintorkino, Moscow",,1,,,1
Acquired from Paramount Pictures,,1,,,1
Acquired through the Lillie P. Bliss Bequest,,1,,,1
Commissioned by the Advisory Committee for the stairwell of the Museum,,1,,,1
Exhibition Fund,,,1,,1
Gift of A. Conger Goodyear (by exchange),,1,,,1
Gift of Abby Aldrich Rockefeller,,13,,,13
Gift of Abby Aldrich Rockefeller in memory of Mrs. Cornelius J. Sullivan,,1,,,1
Gift of Actinograph Corp.,,3,,,3
"Gift of Actinograph Corp.

",,1,,,1
Gift of Actinograph Corp. Preserved with funding from The Lillian Gish Trust for Film Preservation,,5,,,5
Gift of Albert M. Bender,1,50,,,51
Gift of Biograph Studios,,,1,,1
Gift of Douglas Fairbanks,,1,,,1
Gift of Edward M. M. Warburg,,37,,,37
Gift of Eimer & Amend,,,1,,1
Gift of Erich Cohn,,1,,,1
Gift of Gunn & Latchford,,,1,,1
Gift of J. B. Neumann,,27,,,27
Gift of Mr. and Mrs. George E. Barstow,,1,,,1
Gift of Mr. and Mrs. Sam A. Lewisohn,,3,,,3
Gift of Mrs. Arthur L. Strasser,,1,,,1
Gift of Mrs. Simon Guggenheim,,2,,,2
Gift of Philip L. Goodwin (by exchange),,1,,,1
Gift of Pola Gauguin,,1,,,1
Gift of the Advisory Committee,,1,,,1
Gift of the artist,,60,,,60
Gift of the Artists,2,5,,,7
Gift of the designer,,73,,,73
"Gift of the New York World's Fair, 1939",,1,,,1
Given anonymously,1,3,,,4
Purchase,,86,6,,92
(blank),,1,,,1
1940,191,1302,33,,1526
Abby Aldrich Rockefeller Fund,,5,,,5
Abby Aldrich Rockefeller Fund (by exchange),,1,,,1
Acquired from the Artist,,1,,,1
Anonymous Gift,,34,,,34
Commissioned through the Abby Aldrich Rockefeller Fund,,1,,,1
Gift of Abby Aldrich Rockefeller,147,1141,29,,1317
Gift of Actinograph Corp. Preserved with funding from The Lillian Gish Trust for Film Preservation,,2,,,2
Gift of Albert M. Bender,25,45,,,70
Gift of Ben Nicholson,,1,,,1
Gift of Blanchette Hooker Rockefeller,1,,,,1
Gift of Colonel and Mrs. Charles A. Lindbergh,,1,,,1
Gift of Frank Crowninshield,10,,,,10
Gift of H. S. Ede and the artist (by exchange),,1,,,1
Gift of John Hay Whitney,,1,,,1
"Gift of Mr. John D. Rockefeller, Jr.",,1,,,1
Gift of Mrs. Felix M. Warburg,,1,,,1
Gift of Nicholas Ház,,3,,,3
Gift of Philip Johnson,,5,,,5
Gift of R. L. Giffen,,1,,,1
"Gift of the Contemporary Art Society, London",,1,,,1
"Gift of the French Art Galleries, Inc.",,1,,,1
Given anonymously,1,32,,,33
Given anonymously in memory of Mrs. Alice Lillia Newhall,,12,3,,15
Preserved with funding from The Lillian Gish Trust for Film Preservation,,1,,,1
"Preserved with funding from the National Endowment for the Arts and National Film Preservation 
Foundation",,1,,,1
Purchase,7,8,1,,16
"The Museum of Modern Art, New York. Gift of Abby Aldrich Rockefeller",,1,,,1
1941,87,765,17,,869
Abby Aldrich Rockefeller Fund,,6,,,6
