Count of Acquisition Date,Column Labels,,,,
Row Labels,Female,Male,Not Defined,(blank),Grand Total
Gift of Alfred Schwabacher,1,,,,1
Gift of Carl van der Voort,,2,,,2
Gift of Constance B. Cartwright,,1,,,1
Gift of Cordier & Ekstrom Gallery,,1,,,1
"Gift of Cordier & Ekstrom, Inc.",,10,,,10
Gift of D. and J. de Menil,1,,,,1
Gift of Dan Budnik,,2,1,,3
Gift of David Herbert,,1,,,1
Gift of Dr. Mittelsten Schied,1,,,,1
Gift of Dr. Rosemary Lenel,,1,,,1
Gift of Emile Dubrule,,1,,,1
"Gift of Galerie Buchholz, Munich",,1,,,1
Gift of Galerie Denise René,,,1,,1
Gift of Galerie der Spiegel,,1,1,,2
"Gift of Galerie Friederich & Dahlem, Munich",,1,1,,2
Gift of Galerie Jakobsbrunnen,,,1,,1
Gift of Galerie Lirolay,1,,,,1
Gift of Galleria del Levante,,11,,,11
"Gift of Gemeente-Museum, The Hague",,1,,,1
"Gift of George Tanier, Inc.",,1,,,1
"Gift of Graphic Directions, Inc.",,1,,,1
Gift of Henry G. Proskauer,,1,,,1
Gift of Herbert and Nannette Rothschild,,1,,,1
Gift of Howard Taubman,1,,,,1
Gift of James Thrall Soby,,1,,,1
Gift of Jean Mali Noyes,,1,,,1
Gift of Jesse E. Ebert,,1,,,1
Gift of John S. Newberry (by exchange),,1,,,1
Gift of John Torson,,1,,,1
Gift of Joseph H. Heil,,1,,,1
Gift of Julia Feininger,,58,,,58
Gift of Kölner Werkschulen,,,1,,1
Gift of Lady Kathleen Epstein on behalf of the artist's estate,,6,,,6
Gift of Lester Avnet,,5,,,5
"Gift of Margit Winter Chanin, Inc.",,1,,,1
Gift of Marlborough-Gerson Gallery,,2,,,2
Gift of Maximilian H. Miltzlaff,,1,,,1
Gift of Miss Mary Ahern,,1,,,1
Gift of Miss Viki Laura List,,1,,,1
Gift of Monroe Wheeler,,3,,,3
Gift of Mr. and Mrs. André Emmerich,,1,,,1
Gift of Mr. and Mrs. Arthur A. Cohen,1,,,,1
Gift of Mr. and Mrs. C. Gerald Goldsmith,,1,,,1
Gift of Mr. and Mrs. Charles B. Benenson,,1,,,1
Gift of Mr. and Mrs. David Rockefeller,,1,,,1
Gift of Mr. and Mrs. E. Powis Jones,,1,,,1
Gift of Mr. and Mrs. Eugene M. Schwartz,,1,,,1
Gift of Mr. and Mrs. Eugene Victor Thaw,,5,,,5
Gift of Mr. and Mrs. F. Taylor Ostrander,,1,,,1
Gift of Mr. and Mrs. Herbert C. Bernard,,1,,,1
Gift of Mr. and Mrs. Herbert Fischbach,,1,,,1
Gift of Mr. and Mrs. John Lefebre,,11,,,11
Gift of Mr. and Mrs. Leif Sjöberg (by exchange),,1,,,1
Gift of Mr. and Mrs. Peter A. Rübel,,1,,,1
Gift of Mr. and Mrs. Ralph F. Colin,,337,,,337
Gift of Mr. and Mrs. Samuel Dorsky,,1,,,1
Gift of Mr. Arne Ekstrom,,1,,,1
Gift of Mrs. Alfred R. Stern,,1,,,1
Gift of Mrs. Anneli Arms,,1,,,1
Gift of Mrs. Bliss Parkinson,1,7,,,8
Gift of Mrs. Donald B. Straus,,25,,,25
Gift of Mrs. Dorothy Norman,,9,,,9
Gift of Mrs. G. David Thompson,,20,,,20
Gift of Mrs. John D. Rockefeller 3rd,,16,,,16
Gift of Mrs. Raymond J. Braun and David Mann,,1,,,1
Gift of Original Editions,,33,,,33
"Gift of Paul Secon, Inc.",,1,,,1
Gift of Phyllis B. Lambert,,1,,,1
Gift of Porter McCray,,3,,,3
"Gift of Posters Original, Limited",,4,,,4
Gift of Richard S. Zeisler,,1,,,1
Gift of Robert Fraser Gallery,,1,,,1
"Gift of Rosenthal China, Inc.",,1,,,1
Gift of Station WOR-FM,,1,,,1
Gift of Steendrukkerij de Jong & Co,,1,,,1
Gift of Tanglewood Press,1,9,,,10
Gift of the architect,,33,,,33
Gift of the artist,,87,,,87
Gift of the artist in memory of Frank O'Hara,,11,,,11
Gift of the Author,,8,,,8
Gift of the Bianchini Gallery,,2,,,2
Gift of the Celeste and Armand Bartos Foundation,8,17,,,25
Gift of the Container Corporation of America,,1,,,1
Gift of the designer,,27,,,27
Gift of the Felix and Helen Juda Foundation,,1,,,1
Gift of the Fischbach Gallery,,35,,,35
Gift of the H. H. Bennett Studio,,1,,,1
Gift of the International Graphic Art Society,,2,,,2
Gift of the Jerome L. and Jane Stern Foundation,,1,,,1
Gift of the Junior Council,,19,,,19
"Gift of the Kunstgewerbe Museum, Zürich",,1,1,,2
Gift of the manufacturer,,4,,,4
Gift of the Pace Gallery,,2,,,2
Gift of the photographer,,27,,,27
"Gift of the School of Visual Arts, N.Y",,1,,,1
"Gift of the Stedelijk Museum, Amsterdam",,1,,,1
"Gift of Time-Life, Inc.",,1,,,1
Gift of Tropon-Werk,,1,,,1
"Gift of V. Henry Rothschild, II",,13,,,13
Gift of Wilder Green in memory of Frank O'Hara,,1,,,1
Gift of William A. Grigsby,,1,,,1
Gift of Y. K. Bedas,,1,,,1
Given anonymously,,28,,,28
"Given anonymously	",,1,,,1
Given anonymously (by exchange),,2,,,2
Given anonymously in memory of Mrs. Henry Epstein,,1,,,1
Given in memory of G. David Thompson by his New York friends,,1,,,1
Grace M. Mayer Fund,,1,,,1
Greta Daniel Design Fund,3,3,,,6
Inter-American Fund,,8,,,8
International Graphic Arts Society Fund,,9,,,9
James Thrall Soby Fund,,4,,,4
John B. Turner Fund,1,154,,,155
John S. Newberry Fund,,10,,,10
Joseph G. Mayer Foundation Fund,1,12,,,13
Kay Sage Tanguy Bequest (by exchange),,2,,,2
Kay Sage Tanguy Fund,,1,,,1
Larry Aldrich Foundation Fund,,7,,,7
Larry Aldrich Fund,,1,,,1
Lester Avnet Fund,,1,,,1
Marjorie Veith More Memorial Fund,,1,,,1
"Mies van der Rohe Archive, gift of Mary Callery",,1,,,1
"Mies van der Rohe Archive, gift of the architect",,11,,,11
Monroe Wheeler Fund,,131,,,131
Mr. and Mrs. E. Powis Jones Fund,,1,,,1
Mr. and Mrs. Peter A. Rübel Fund,,2,,,2
Mrs. Gertrude A. Mellon Fund,,1,,,1
Mrs. Simon Guggenheim Fund,1,1,,,2
Nina and Gordon Bunshaft Fund,,1,,,1
Philip Johnson Fund,,1,,,1
Purchase,4,90,1,,95
Purchase Fund,,1,,,1
"Purchased with funds provided by Mrs. Julia Feininger, Mr. and Mrs. Richard K. Weil and Mr. and Mrs. Ralph F. Colin",,1,,,1
The Family of Man Fund,,1,,,1
"Transferred from the Eluard and Dausse Collection, The Museum of Modern Art Library",,1,,,1
William P. Jones O'Connor Fund,,1,,,1
(blank),,155,,,155
1967,207,2109,17,,2333
Abby Aldrich Rockefeller Fund,,1,,,1
Acquired by exchange,,3,,,3
Acquired through the Lillie P. Bliss Bequest,,2,,,2
Acquired through the Lillie P. Bliss Bequest (by exchange),,1,,,1
Alva Gimbel Fund,,12,,,12
Benjamin Zeller Memorial Fund,,3,,,3
Blanchette Hooker Rockefeller Fund,,4,,,4
Bliss Fund,,1,,,1
Brazil Fund,3,4,,,7
Celeste and Armand Bartos Foundation,,13,,,13
Celeste and Armand Bartos Foundation Fund,,1,,,1
Christopher Tietze Fund,,1,,,1
Courtesy of the photographer,,58,,,58
D. S. and R. H. Gottesman Foundation Fund,,2,,,2
D.S. and R.H. Gottesman Foundation Fund,,10,,,10
David H. McAlpin Fund,,40,,,40
Donald H. Karshan Fund,,3,,,3
Donald Karshan Fund,,1,,,1
Dorothy B. and Joseph M. Edinburg Fund,,2,,,2
Double credit line (see individual entries),,1,,,1
Eve Clendenin Fund,,3,,,3
F. H. Hirschland Fund,,1,,,1
Felix and Helen Juda Foundation Fund,,2,,,2
Gertrud A. Mellon Fund,,10,1,,11
Gertrud Mellon Fund,,2,,,2
Gift of Abby Aldrich Rockefeller (by exchange),,1,,,1
"Gift of African Art Center, Durban, South Africa",,1,,,1
Gift of Alvin Romansky,,2,,,2
Gift of Arthur M. Bullowa,,5,,,5
Gift of Barbara Jakobson and John R. Jakobson,,1,,,1
Gift of Bonniers,,,2,,2
"Gift of Bonniers, Inc.",,6,,,6
Gift of Carl Sandburg and Edward Steichen,,1,,,1
Gift of Carlos Irizarry,,2,,,2
Gift of Charles B. Benenson,,1,,,1
Gift of Curt Valentin Estate (by exchange),,1,,,1
Gift of David Whitney,,1,,,1
Gift of Design Research,1,,,,1
"Gift of Design Research, New York",,1,,,1
"Gift of Dr. and Mrs. Arthur Lejwa, in memory of Mrs. Henry Epstein",,1,,,1
Gift of Dr. Herbert W. Franke,,1,,,1
Gift of Edward Steichen,,1,,,1
Gift of Emilio del Junco (by exchange),,1,,,1
Gift of Emilio Sanchez,,1,,,1
Gift of Frank Perls,,1,,,1
Gift of Gemini Ltd.,,8,,,8
"Gift of George Kovacs, Inc.",,1,,,1
Gift of George Riabov,1,,,,1
Gift of Grace M. Mayer,,1,,,1
Gift of Herbert and Nanette Rothschild,,1,,,1
Gift of Herbert and Nannette Rothschild,,1,,,1
"Gift of International Graphic Arts Society, Inc. (by exchange)",,1,,,1
Gift of J. Kasmin,,11,,,11
Gift of Jean and Howard Lipman,,1,,,1
Gift of Jorge Romero Brest,,1,,,1
Gift of Joseph I. Singer,,1,,,1
Gift of Juan M. and Roderick W. Cameron,,1,,,1
"Gift of Kleiner, Bell & Co.",4,219,,,223
"Gift of Kleiner, Bell and Co.",1,,,,1
Gift of Lester Avnet,,11,,,11
Gift of Lincoln Kirstein,,1,,,1
Gift of Mildred Constantine,,1,,,1
Gift of Mlle Isabelle Rouault,,15,,,15
Gift of Mme Roberta González-Richard,,5,,,5
Gift of Mme. Roberta Gonzalez,,1,,,1
Gift of Monroe Wheeler,,11,,,11
Gift of Mr. and Mrs. A. M. Sachs,,1,,,1
"Gift of Mr. and Mrs. Alfred H. Barr, Jr.",,59,,,59
Gift of Mr. and Mrs. Armand P. Bartos,,14,,,14
Gift of Mr. and Mrs. Arthur A. Cohen,,,1,,1
Gift of Mr. and Mrs. Daniel Saidenberg,,1,,,1
Gift of Mr. and Mrs. Donald B. Straus,,1,,,1
Gift of Mr. and Mrs. Felix Juda,,44,,,44
Gift of Mr. and Mrs. George M. Jaffin,,1,,,1
Gift of Mr. and Mrs. Harry Kahn,,10,,,10
Gift of Mr. and Mrs. Herbert C. Lee,,1,,,1
Gift of Mr. and Mrs. Leo Farland,,21,2,,23
Gift of Mr. and Mrs. Lester Avnet,,2,,,2
Gift of Mr. and Mrs. Lester Francis Avnet,,6,,,6
Gift of Mr. and Mrs. Peter A. Rübel,,1,,,1
Gift of Mr. and Mrs. Ralph F. Colin,,29,,,29
Gift of Mr. and Mrs. Sidney Elliott Cohn,,1,,,1
Gift of Mr. and Mrs. Thomas B. Hess,,6,,,6
Gift of Mr. and Mrs. William Feinberg,,1,,,1
Gift of Mr. and Mrs. William Mazer,,1,,,1
Gift of Mr. Joseph H. Heil,,4,,,4
Gift of Mrs. Bliss Parkinson,,1,,,1
Gift of Mrs. Gabrielle Keiller,,11,,,11
Gift of Mrs. Kurt Baasch,,4,,,4
Gift of Mrs. Mervyn Palmer,,4,,,4
Gift of Mrs. Rosa Esman,1,9,,,10
"Gift of Mrs. Samuel Bronfman, Mrs. John David Eaton, and Mr. Samuel J. Zacks (through the International Council)",3,54,1,,58
Gift of Nina Kandinsky,,9,,,9
"Gift of Page, Arbitrio and Resen",6,19,,,25
Gift of Peter Deitsch Gallery,3,37,,,40
Gift of Philip Johnson,,1,,,1
Gift of Pierre Matisse,,1,,,1
Gift of R. Thornton Wilson,,1,,,1
Gift of Richard L. Feigen,,1,,,1
Gift of Roger Crossgrove,,37,,,37
Gift of Sheila Hicks,,2,,,2
Gift of Shirley Burden,,8,,,8
Gift of the African Art Centre,,1,,,1
Gift of the architect,,77,,,77
Gift of the artist,44,198,,,242
Gift of the artist (by exchange),,1,,,1
Gift of the artist in memory of Frank O'Hara,,13,,,13
"Gift of the Betty Parsons Gallery, New York",,8,,,8
Gift of the Celeste and Armand Bartos Foundation,3,13,,,16
Gift of the Contemporaries Gallery,,1,,,1
Gift of the Curt Valentin Estate (by exchange),10,2,,,12
Gift of the designer,,10,1,,11
"Gift of the East Hampton Gallery, New York",,1,,,1
Gift of the Hayden Gallery M.I.T.,,1,,,1
"Gift of the International Biennial of Prints, Tokyo",,1,,,1
Gift of the Junior Council,,1,,,1
Gift of the manufacturer,1,5,,,6
Gift of the Marguerite Singel Estate,,1,,,1
"Gift of the Organizing Committee of Homage ""Walk with Antonio Machado""",,1,,,1
Gift of the photographer,1,42,,,43
Gift of the San Juan Racing Association,,5,,,5
"Gift of the Stedlijk Museum, Amsterdam",,1,,,1
Gift of the Trustees of the Pastorale Fund,,29,,,29
"Gift of the Yoseido Gallery, Tokyo",,1,,,1
Gift of Warren D. Benedek,,1,,,1
Gift of Willard Van Dyke,1,,,,1
"Gift of Yoseido Gallery, Tokyo",,1,,,1
Given anonymously,3,79,,,82
Given anonymously in memory of Thomas A. Stone,,1,,,1
Given in memory of Fernand Leval by his wife and children,,1,,,1
Grace M. Mayer Fund,,4,,,4
Inter-American Fund,7,49,,,56
International Graphic Arts Society Fund,,8,,,8
James Thrall Soby Fund,,1,,,1
Joanne M. Stern Fund,,8,,,8
John B. Turner Fund,3,115,,,118
John S. Newberry Fund,,44,2,,46
Joseph G. Mayer Foundation Fund,,2,,,2
Joseph G. Mayer Foundation Fund in honor of René d'Harnoncourt,1,,,,1
Joseph G. Mayer Foundation Fund in memory of René d'Harnoncourt,,2,,,2
Joseph G. Mayer Foundation Inc. Fund,1,,,,1
Joseph M. and Dorothy B. Edinburg Charitable Trust Fund,,1,,,1
Joseph M. and Dorothy B. Edinburg Fund,,1,,,1
Junior Council Fund,,4,,,4
Katherine S. Dreier Fund,,1,,,1
Kay Sage Tanguy Fund,,1,,,1
L-B Foundation Fund,,5,,,5
Larry Aldrich Foundation Fund,,6,,,6
Larry Aldrich Foundation Fund and purchase,,1,,,1
Larry Aldrich Fund,,4,,,4
Lee Simonson Bequest,,2,,,2
Lester Avnet Fund,,2,,,2
Louise Reinhardt Smith Fund,,1,,,1
M. Dickinson Fund,,2,,,2
Martha Dickinson Fund,,12,,,12
Monroe Wheeler Fund,,132,,,132
Mr. and Mrs. E. Powis Jones Fund,,3,,,3
Mr. and Mrs. Eugene Victor Thaw Fund,,1,,,1
Mrs. Bertram Smith Fund,,2,,,2
Mrs. E. B. Parkinson Fund,,2,,,2
Mrs. E. Powis Jones Fund,,2,,,2
"Mrs. John D. Rockefeller, 3rd Fund",,20,,,20
Philip Johnson Fund,,9,,,9
Purchase,90,61,7,,158
Richard Avedon Fund,2,,,,2
S. Brooks Barron Fund,,6,,,6
Saidie A. May Fund,,1,,,1
San Juan Racing Association Fund,,1,,,1
The Family of Man Fund,,1,,,1
The Felix and Helen Juda Foundation Fund,,5,,,5
The Joan and Lester Avnet Collection,,2,,,2
The John S. Newberry Collection,,1,,,1
The John S. Newberry Fund,,4,,,4
The Joseph G. Mayer Foundation Fund,,13,,,13
The Lily Auchincloss Foundation Fund,,1,,,1
The Sidney and Harriet Janis Collection,1,70,,,71
Transferred from the Film Library,,10,,,10
Trustees of the Pastorale Fund,,4,,,4
Vera de Vries Weber Memorial Fund,,2,,,2
Walter Bareiss Fund,,12,,,12
(blank),16,67,,,83
1968,72,6737,17,,6826
A. Conger Goodyear Fund,,1,,,1
Abbott-Levy Collection. Partial gift of Shirley C. Burden,,4889,,,4889
Abby Aldrich Rockefeller Fund,,1,,,1
Acquired by exchange,,14,1,,15
Acquired from the Artist,,1,,,1
Adriane Reggie Fund,,1,,,1
Advisory Committee Fund,,2,,,2
Alexander M. Bing Fund,,1,,,1
Alva Gimbel Fund,,1,,,1
Anonymous Gift,4,4,,,8
Benjamin Zeller Memorial Fund,,3,,,3
Blanchette Hooker Rockefeller Fund,,2,,,2
Celeste and Armand Bartos Foundation,,1,,,1
Celeste and Armand Bartos Foundation Fund,,1,,,1
Charles Henry Coster Fund,,1,,,1
D. and J. de Menil Fund,,1,,,1
David H. McAlpin Fund,1,9,,,10
David H. McAlpin Fund. Purchase,,1,,,1
Donald Karshan Fund,,1,,,1
Emery Fund,,1,,,1
Felipe Cossio del Pomar Fund,,4,,,4
Felix and Helen Juda Foundation Fund,,3,,,3
Gertrud A. Mellon Fund,,2,,,2
Gift of Albert Loeb and Krugier Gallery,,1,,,1
Gift of Armin Hofmann,,1,,,1
Gift of Arthur M. Bullowa,,4,,,4
Gift of Bates Lowry,,2,,,2
"Gift of Bonniers, Inc.",,7,4,,11
Gift of C. M. Price,,1,,,1
Gift of Celeste and Armand P. Bartos Foundation,,1,,,1
Gift of D. and J. de Menil,,2,,,2
Gift of D.S. and R.H. Gottesman Foundation,,1,,,1
Gift of David H. McAlpin,2,260,,,262
Gift of David Kluger,,20,,,20
"Gift of Davide Campari, Milan",,1,,,1
Gift of Dorothy Dehner,,1,,,1
"Gift of Doyle, Dane, Bernbach Agency",,1,,,1
"Gift of Dr. and Mrs. Aaron H. Esman, in honor of René d'Harnoncourt",1,3,,,4
"Gift of Dr. and Mrs. Aaron H. Esman, in memory of René d'Harnoncourt",,1,,,1
Gift of Dr. Jack Budowsky,,1,,,1
Gift of Dr. Lydia Pasternak Slayter,,2,,,2
Gift of Dr. Milton Kapit,,1,,,1
Gift of Edward Steichen,,1,,,1
Gift of Emil J. Arnold,,1,,,1
Gift of Erwin Swann,,1,,,1
Gift of Galerie Denise René,,1,,,1
Gift of Galerie Jeanne Bucher,,1,,,1
"Gift of Georg Jensen, Inc.",,1,,,1
Gift of Henriette Bonnotte in memory of Georges Bonnotte,1,,,,1
Gift of Instituto do Acucar e do Alcool,,21,,,21
Gift of J. B. Neumann,,1,,,1
Gift of J.B. Neumann (by exchange),,1,,,1
Gift of Jacques Lassaigne,,2,,,2
Gift of James Thrall Soby,,2,,,2
Gift of Joan and Lester Avnet,,4,,,4
"Gift of John Stuart, Inc.",,1,,,1
Gift of Joseph H. Heil,,8,3,,11
Gift of Kasmin Limited,,1,,,1
Gift of Lillian Nassau,,1,,,1
Gift of List Art Posters,,1,,,1
"Gift of Marlborough-Gerson Gallery, Inc.",,1,,,1
Gift of Miss Doris Meltzer,,1,,,1
Gift of Miss Frances Keech,,1,,,1
Gift of Miss Jeanie E. Hughes,1,,,,1
Gift of Monroe Wheeler,,9,,,9
Gift of Mourlot Freres,,1,,,1
Gift of Mr. and Mrs. Alan Kern,,1,,,1
"Gift of Mr. and Mrs. Alfred H. Barr, Jr.",,25,,,25
Gift of Mr. and Mrs. Daniel Saidenberg,,4,,,4
Gift of Mr. and Mrs. Eugene Victor Thaw,,1,,,1
Gift of Mr. and Mrs. G. Alan Chidsey,,1,,,1
Gift of Mr. and Mrs. Harry G. Liese in memory of Dr. Morton Singer,1,,,,1
Gift of Mr. and Mrs. Harry Kahn,,41,1,,42
"Gift of Mr. and Mrs. Hudson D. Walker, in memory of René d'Harnoncourt",,1,,,1
Gift of Mr. and Mrs. John D. Rockefeller 3rd in memory of René d'Harnoncourt,,25,,,25
Gift of Mr. and Mrs. Klaus G. Perls,,1,,,1
Gift of Mr. and Mrs. Leo Farland,,1,,,1
Gift of Mr. and Mrs. Lester Avnet,1,1,,,2
Gift of Mr. and Mrs. Lester Francis Avnet,2,13,,,15
Gift of Mr. and Mrs. Maurice Vanderwoude,,1,,,1
"Gift of Mr. and Mrs. Meyer Schapiro, in memory of René d'Harnoncourt",,1,,,1
Gift of Mr. and Mrs. N. Richard Miller and Mr. and Mrs. Alex L. Hillman and Samuel Girard Funds,,1,,,1
Gift of Mr. and Mrs. Peter A. Rübel,1,1,,,2
Gift of Mr. and Mrs. Pierre Matisse in honor and memory of Victor Leventritt,,1,,,1
Gift of Mr. and Mrs. Ralph F. Colin,,1,,,1
"Gift of Mr. and Mrs. Ralph F. Colin, in honor of René d'Harnoncourt",,8,,,8
Gift of Mr. and Mrs. Richard L. Selle,,1,,,1
Gift of Mr. and Mrs. Stephen Hahn,,1,,,1
Gift of Mr. and Mrs. W. Dieter Zander,,1,,,1
Gift of Mr. and Mrs. Walter Bareiss,,1,,,1
Gift of Mr. Arthur Ross,,1,,,1
Gift of Mr. David Whitney,,11,,,11
Gift of Mr. Irving Drutman,,1,,,1
Gift of Mr. Lester Avnet,,2,,,2
Gift of Mr. Paul Jenkins,1,,,,1
Gift of Mr. Sergio Tosi,,13,,,13
Gift of Mr. Stanley W. Hayter,,1,,,1
Gift of Mrs. Alan A. Rosenthal,,3,,,3
Gift of Mrs. Alexander Keiller,,13,,,13
Gift of Mrs. Benjamin Weiss,,1,,,1
Gift of Mrs. Bliss Parkinson,,1,,,1
Gift of Mrs. Charles G. Stachelberg,,1,,,1
Gift of Mrs. Helen Gee,,9,,,9
Gift of Mrs. Ketty Rodriguez,,1,,,1
Gift of Mrs. Louise G. Harper,,1,,,1
Gift of Mrs. Miriam Grossman Cohen,,4,,,4
Gift of Mrs. Nickolas Muray,,8,,,8
Gift of Mrs. Pierre Matisse and the Helena Rubenstein Fund,,1,,,1
Gift of Nina and Gordon Bunshaft,,1,,,1
Gift of Office for Emergency Management,,1,,,1
Gift of Otto Madlener,,1,,,1
Gift of P. Reyner Banham,,1,,,1
Gift of Paul Schupf,,1,,,1
Gift of Peter Müller-Munk,,3,1,,4
Gift of Philip Johnson,,4,1,,5
Gift of Pierre Matisse,,1,,,1
Gift of Ralph Culpepper,,1,,,1
Gift of Richard Avedon,,1,,,1
Gift of Richard H. Waddell,,1,,,1
Gift of Robert E. Nunnelley,,1,,,1
"Gift of Roberts and Regn, Inc.",,1,,,1
"Gift of S. I. Newhouse, Jr.",,1,,,1
Gift of Saidenberg Gallery,,1,,,1
Gift of Scarabaeus Ltd.,,1,1,,2
"Gift of Scarabaeus Ltd. and Moroddi, Inc.",,1,,,1
Gift of Shirley C. Burden,2,,,,2
"Gift of Stendig, Inc.",,2,,,2
Gift of the architect,,3,,,3
Gift of the artist,,205,,,205
Gift of the artist in honor of Mr. and Mrs. Ralph F. Colin,,5,,,5
"Gift of the artist, in honor of Mr. and Mrs. Ralph F. Colin",,10,,,10
Gift of the artist's family,1,,,,1
Gift of the Celeste and Armand Bartos Foundation,4,39,,,43
Gift of the Congress of Industrial Organizations,,1,,,1
Gift of the Container Corporation of America,1,,,,1
Gift of the designer,,60,,,60
Gift of the Estate of C.M. Price,,,1,,1
Gift of the General Dynamics Corporation,,1,,,1
"Gift of the Kunstgewerbe Museum, Zürich",,2,,,2
Gift of the manufacturer,,2,1,,3
Gift of the manufacturer and Turner-T Ltd.,,2,,,2
"Gift of the Marlborough-Gerson Gallery, N.Y",,1,,,1
Gift of The Museum of Modern Art Department of Publications,12,34,,,46
Gift of the Office for Emergency Management,,3,,,3
Gift of the Office of War Information,,1,,,1
Gift of the Pace Gallery,,1,,,1
Gift of the photographer,,73,,,73
Gift of the Rural Electrification Administration,,1,,,1
Gift of the Simon Fraser University,,,1,,1
"Gift of the Simon Fraser University, Burnaby, British Columbia",,1,,,1
Gift of the Triton Gallery,,4,,,4
Gift of Willard Van Dyke,2,12,,,14
Gift of William S. Rubin,,1,,,1
Given anonymously,1,38,1,,40
Given anonymously (by exchange),,1,,,1
Harry J. Rudick Fund,,1,,,1
Helena Rubinstein Fund,,1,,,1
Inter-American Fund,10,60,,,70
James Thrall Soby Fund,,1,,,1
Joachim Jean Aberbach and Mrs. John Barry Ryan Funds,,1,,,1
John B. Turner Fund,1,87,,,88
John S. Newberry Fund,,35,,,35
Joseph G. Mayer Foundation Inc. Fund,1,,,,1
"Joseph G. Mayer Foundation, Inc. Fund",1,2,,,3
Kay Sage Tanguy Fund,,1,,,1
Larry Aldrich Foundation Fund,1,2,,,3
Latin-American Fund,,1,,,1
Lily Auchincloss Fund,1,1,,,2
"Mies van der Rohe Archive, gift of the architect",,8,,,8
"Mies van der Rohe Archive, gift of the architect
",,1,,,1
Monroe Wheeler Fund,,55,,,55
"Monroe Wheeler Fund
",,1,,,1
Mr. and Mrs. Albert Lewin and Mrs. Sam A. Lewisohn Funds,,1,,,1
Mr. and Mrs. E. Powis Jones Fund,,18,,,18
Mr. and Mrs. John Spencer Fund,,11,,,11
Mr. and Mrs. Simon Askin Fund,,1,,,1
Mrs. Donald B. Straus Fund,1,28,,,29
Mrs. Simon Guggenheim Fund,,2,,,2
Purchase,2,188,1,,191
"Purchase Fund, Jan Tschichold Collection",,1,,,1
Robert O. Lord Fund,,1,,,1
S. Brooks Barron Fund,,2,,,2
Sidney and Harriet Janis Collection Fund (by exchange).  Conservation was made possible by the Bank of America Art Conservation Project,,1,,,1
Susan Morse Hilles Fund,,3,,,3
"The Ben Schultz Memorial Collection
Gift of the photographer",,1,,,1
The Ben Schultz Memorial Collection. Gift of Lee Friedlander,,1,,,1
The Ben Schultz Memorial Collection. Gift of Mrs. Dan Weiner,,2,,,2
The Ben Schultz Memorial Collection. Gift of the artist,,1,,,1
The Ben Schultz Memorial Collection. Gift of the photographer,15,35,,,50
The Celeste and Armand Bartos Foundation Fund,,31,,,31
The Sidney and Harriet Janis Collection,,1,,,1
The William B. Jaffe and Evelyn A.J. Hall Collection,,11,,,11
Transferred from the Museum Library,,14,,,14
"Transferred from the Museum Library
",,1,,,1
Trustees of the Pastorale Fund,,4,,,4
Walter Bareiss Fund,,1,,,1
(blank),,71,,,71
1969,169,1982,2,,2153
Acquired by exchange with the Library of Congress,,62,,,62
Acquired from Gosfilmofond,,1,,,1
Acquired on exchange with Gosfilmofond,,1,,,1
Acquired through the Lillie P. Bliss Bequest,,1,,,1
Acquired through the Lillie P. Bliss Bequest and the Mr. and Mrs. David Rockefeller Fund.  Conservation was made possible by the Bank of America Art Conservation Project,,1,,,1
Adriane Reggie Fund,,1,,,1
Advisory Committee Fund,,1,,,1
Alva Gimbel Fund,,3,,,3
Anonymous Gift,,1,,,1
Anonymous gift in memory of Dr. Jean Weigle,,1,,,1
Anonymous gift in memory of Flobelle Fairbanks Burden,,1,,,1
Anonymous purchase in memory of Flobelle Fairbanks Burden,,2,,,2
Blanchette Hooker Rockefeller Fund,,17,,,17
Carol Buttenweiser Loeb Memorial Fund,,1,,,1
Celeste and Armand Bartos Foundation,,1,,,1
Celeste and Armand Bartos Foundation Fund,,15,,,15
D. and J. de Menil Fund,,1,,,1
D. S. and R. H. Gottesman Foundation,,1,,,1
D. S. and R. H. Gottesman Foundation Fund,,5,,,5
D.S. and R.H. Gottesman Foundation Fund,,4,,,4
David H. McAlpin Fund,,13,,,13
David Rockefeller Latin American Fund,1,4,,,5
Donald Karshan Fund,,3,,,3
Felix and Helen Juda Foundation Fund,,7,,,7
Gertrud A. Mellon Fund,,2,,,2
Gertrud A. Mellon Fund (by exchange),,1,,,1
Gift of Alfonso A. Ossorio,1,,,,1
"Gift of Allan Roos, M.D. and B. Mathieu Roos",,1,,,1
Gift of Atelier International,,2,,,2
Gift of Barbara Jakobson,,4,,,4
Gift of Barbara Jakobson and John R. Jakobson,,2,,,2
Gift of Bates Lowry,,1,,,1
Gift of Bernard Reis,,1,,,1
Gift of Blanchette Hooker Rockefeller,,3,,,3
Gift of Bonniers,,2,,,2
"Gift of Bonniers, Inc.",,3,,,3
Gift of Carter Burden,,1,,,1
"Gift of Carter Burden, Mr. and Mrs. John R. Jakobson and purchase",,1,,,1
Gift of Ceskoslovensky Filmovy Archiv. Restored with funding from the American Film Institute,,1,,,1
Gift of Charles and Anita Blatt,1,1,,,2
Gift of David Whitney,,1,,,1
Gift of Donald H. Karshan,,1,,,1
Gift of Dr. and Mrs. Aaron Esman,,1,,,1
"Gift of Dr. Jack Budowsky, New York",,1,,,1
Gift of Editions Alecto of America,,1,,,1
Gift of Emilio Ambasz,,1,,,1
